;100까지는 우마뾰이 호환 목적으로 공백으로
;350까지 사용아이템 영역
101,스파크드링크10,15
102,스파크드링크20,15
103,스파크드링크30,15
104,목캔디,10
105,버블티,10
106,고함량카카오초콜릿,10
107,롤케이크,10
351,츄파에센스,100
352,감응형스마트섬유,100
353,붉은체크무늬원단,100
354,희망의별조각,100
;1000까지 중요아이템 영역
;의상(장비)
1001,글로리어스트리니티,30
;샤이니 트리니티
1003,츄파카브라TFSize,100
1004,프롤로그루주,50
1011,누벨트리콜로르,8500
1012,뤼미에르파피용,16800
1013,인피니트스카이,49200
1014,드림프렐류드,51200
;의식
2001,목표는톱아이돌,30
2002,한결같이내일을향해,160
;카드
3015,N모가미시즈카,10
3023,N노노하라아카네,10
3037,N요코야마나오,10
3050,N줄리아,10
3067,N+모가미시즈카,10
3102,N+줄리아,10